,Dataset,Tool,Location,Accuracy,AP,ROC_AUC,F1_5mC,F1_5C,Precision_5mC,Precision_5C,Recall_5mC,Recall_5C,Corr_Mix,Corr_All,Corr_mixedSupport,Corr_allSupport,mCsites_called,Csites_called,mCsites,Csites,referenceCpGs,prefix,coord
155,HL60,DeepMod,CpG Island,0.7221110438870014,0.05159246117995411,0.4775283351053873,0.07268209349277839,0.8365676748323526,0.044234404536862,0.9435080570476014,0.20365535248041772,0.751401317730357,-0.1893136800113092,-0.1982266984412706,27,97,5290,16197,767,14033,14800,HL60_RRBS.DeepMod,ONT.hg38.cpgIslandExt.bed
158,HL60,DeepMod,Exons,0.6854407452130412,0.1120289291766862,0.4624389051808407,0.11329929491855092,0.8088073394495413,0.08475809385230994,0.8721311475409836,0.17082111436950145,0.7540566959921798,0.3508151567940357,0.010623508758980492,10,50,2749,8845,922,7008,7930,HL60_RRBS.DeepMod,ONT.hg38.exonFeature.bed
160,HL60,DeepMod,Intergenic,0.47105393369619,0.4664054000461609,0.4594642167216786,0.20164301717699776,0.6045135035146134,0.3698630136986301,0.4933574879227053,0.13860369609856266,0.7803247373447947,0.5232830232882931,-0.1061771308009614,6,9,365,1656,554,735,1289,HL60_RRBS.DeepMod,ONT.hg38.intergenic.bed
161,HL60,DeepMod,Introns,0.6634484325306679,0.16180837318422595,0.467194314651055,0.14635551714203401,0.7904081488293132,0.12795969773299748,0.8193283472649948,0.17092866756393002,0.7634599617381799,0.01749059637721695,-0.23566310385037306,10,30,1985,6819,1016,5074,6090,HL60_RRBS.DeepMod,ONT.hg38.intronFeature.bed
166,HL60,DeepMod,Promoters,0.728427222403126,0.03704089101263116,0.4659449099351652,0.04939209726443769,0.8415854121818412,0.028590279305036288,0.957705886591253,0.1813110181311018,0.7505788017392286,0.06369484608712023,0.00207748412251961,13,80,4547,13879,484,12136,12620,HL60_RRBS.DeepMod,ONT.hg38.promoterFeature500.bed
169,HL60,DeepMod,Discordant,0.56,0.5111111111111111,0.5448717948717949,0.26666666666666666,0.6857142857142856,0.6666666666666666,0.5454545454545454,0.16666666666666666,0.9230769230769232,0.0,0.0,0,0,3,22,9,8,17,HL60_RRBS.DeepMod,HL60_RRBS.hg38_nonsingletons.discordant.bed
170,HL60,DeepMod,Concordant,0.6974346679453368,0.08772880974543268,0.4765260433766585,0.11043233082706767,0.8177178623013962,0.0753688261706222,0.903885045236828,0.20650263620386644,0.7465494505494505,0.0,-0.20506362386998145,0,46,3118,9395,768,7836,8604,HL60_RRBS.DeepMod,HL60_RRBS.hg38_nonsingletons.concordant.bed
171,HL60,Tombo,Genome-wide,0.7861719564893459,0.3742858092201879,0.8305252034719933,0.5537472789468229,0.8594010255070381,0.40117152297987385,0.9764007421150278,0.8936099029775845,0.7674405039664023,0.6395668429401647,0.6686754784407383,36,113,6658,13475,2624,15177,17801,HL60_RRBS.Tombo,x.x.Genome-wide
172,HL60,Tombo,Singletons,0.7647058823529411,0.5413558942961739,0.8002669910722905,0.6956303365143144,0.8082278481012658,0.5708985985160758,0.9372477064220184,0.8901028277634961,0.7104311543810848,0.7922484733182588,0.7856602743242327,10,21,2426,2725,1379,3198,4577,HL60_RRBS.Tombo,x.x.Singletons
173,HL60,Tombo,Non-singletons,0.7935522627152584,0.2825148822065795,0.8399924916499351,0.4540158870255958,0.8727108111444914,0.30387523629489605,0.9863255813953488,0.8974180041870202,0.7825669791128497,0.5471564916159732,0.6466168837421818,26,92,4232,10750,1245,11979,13224,HL60_RRBS.Tombo,x.x.Non-singletons
174,HL60,Tombo,CpG Island,0.7816888782645073,0.16717577125177113,0.8352565837693173,0.30059352862339656,0.8706582161951634,0.1806258628624022,0.9925728586421247,0.8950969213226908,0.7754162462159435,0.4992427612527234,0.4967544328794238,27,97,4346,12387,767,14033,14800,HL60_RRBS.Tombo,ONT.hg38.cpgIslandExt.bed
177,HL60,Tombo,Exons,0.8050545535515475,0.34256003845280925,0.8469591704003727,0.5217153783119366,0.8775781304621407,0.3670253651037663,0.9836990595611286,0.9017941454202076,0.7921241953805377,0.8393614333991009,0.6661670727343647,10,50,2602,6380,922,7008,7930,HL60_RRBS.Tombo,ONT.hg38.exonFeature.bed
179,HL60,Tombo,Intergenic,0.7003436426116838,0.5887585193384095,0.7172282058363252,0.715032679738562,0.6840579710144928,0.6139169472502806,0.8368794326241135,0.8560250391236307,0.5784313725490197,0.1071810811446072,0.6978711714144243,6,9,891,564,554,735,1289,HL60_RRBS.Tombo,ONT.hg38.intergenic.bed
180,HL60,Tombo,Introns,0.7764963503649635,0.3980330595197802,0.8304658738915351,0.5755475464374827,0.8483107103933419,0.4205834683954619,0.9769511638521224,0.9113257243195786,0.7496060234634915,0.8604116218883474,0.8704017740795276,10,30,2468,4382,1016,5074,6090,HL60_RRBS.Tombo,ONT.hg38.intronFeature.bed
185,HL60,Tombo,Promoters,0.8076546319619368,0.1373513228417066,0.8453941943379931,0.25682616923492835,0.8895318464938718,0.15017388555169142,0.9945188246922456,0.8861940298507462,0.8045943588252399,0.7942764745839135,0.4851527244344126,13,80,3163,11129,484,12136,12620,HL60_RRBS.Tombo,ONT.hg38.promoterFeature500.bed
188,HL60,Tombo,Discordant,0.4,0.4555555555555556,0.4,0.5714285714285714,0.0,0.4444444444444444,0.0,0.8,0.0,0.0,0.0,0,0,18,2,9,8,17,HL60_RRBS.Tombo,HL60_RRBS.hg38_nonsingletons.discordant.bed
189,HL60,Tombo,Concordant,0.8209459459459459,0.2982311325396578,0.8554400660054168,0.473984962406015,0.8921102954783787,0.3220269718022068,0.9877065974593636,0.8974943052391801,0.8133858267716535,0.0,0.5302760741695985,0,46,2447,7321,768,7836,8604,HL60_RRBS.Tombo,HL60_RRBS.hg38_nonsingletons.concordant.bed
